SpecimenID,Family,Genus,Species
33774,Flacourtiaceae,Xylosma,intermedium
33775,Burseraceae,Bursera,howellii
33776,Myrtaceae,Calyptranthes,sp.
33777,Leguminosae-Papil.,Pterocarpus,rohrii
33778,Rutaceae,Zanthoxylum,monophyllum
33779,Leguminosae-Papil.,Machaerium,moritzianum
33780,Anacardiaceae,Astronium,fraxinifolium
33783,Sapindaceae,Talisia,olivaeformis
33785,Sapindaceae,Talisia,olivaeformis
33786,Hernandiaceae,Gyrocarpus,americanus
33788,Acanthaceae,Bravaisia,integerrima
33789,Capparidaceae,Capparis,odoratissima
33790,COMBRETACEAE,Conocarpus,erectus
33791,Avicenniaceae,Avicennia,nitida
33792,Bombacaceae,Bombacopsis,quinata
33794,Leguminosae-Papil.,Platymiscium,polystachyum
33795,Opiliaceae,Agonandra,brasiliensis
33796,Bignoniaceae,Cybistax,chrysea
33797,Cactaceae,Pereskia,colombiana
33798,Euphorbiaceae,Croton,malambo
33799,Sterculiaceae,Sterculia,apetala
33800,Sapindaceae,Melicocca,bijuga
33802,Sapindaceae,Sapindus,saponaria
33803,Theophrastaceae,Jacquinia,sp.
33804,Araliaceae,Sciadodendron,excelsum
33805,Moraceae,Cecropia,peltata
33819,Lauraceae,Licaria,canella
33832,Humiriaceae,Endopleura,uchi
33833,Guttiferae,Haploclathra,paniculata
33839,Leguminosae-Papil.,Anagyris,foetida
33843,Compositae,Santolina,chamaecyparissus
33845,Caprifoliaceae,Leycesteria,formosa
33846,Leguminosae-Caes.,Koompassia,excelsa
33847,Rhamnaceae,Paliurus,aculeatus
33849,Leguminosae-Papil.,Medicago,arborea
33850,Leguminosae-Papil.,Spartium,junceum
33864,Buxaceae,Styloceras,laurifolium
33865,Buxaceae,Styloceras,laurifolium
33866,Meliaceae,Carapa,guianensis
33867,Leguminosae-Papil.,Cladrastis,kentukea
33868,Betulaceae,Corylus,maxima
33869,Theaceae,Asteropeia,rhopaloides
33870,Dipterocarpaceae,Anisoptera,thurifera
33876,Proteaceae,Panopsis,sp.
33881,Myrtaceae,Eugenia,sp.
33882,Podocarpaceae,Podocarpus,montanus
33885,Leguminosae-Mim.,Inga,marginata
33891,Leguminosae-Caes.,Libidibia,coriaria
33896,Leguminosae-Caes.,Peltogyne,maranhensis
33907,Melastomataceae,Henriettella,sp.
33909,Podocarpaceae,Podocarpus,sp.
33914,Meliaceae,Cedrela,odorata
33915,Bignoniaceae,Tabebuia,serratifolia
33916,Cunoniaceae,Weinmannia,glabra
33917,Burseraceae,Protium,sp.
33919,Leguminosae-Papil.,Dussia,sp.
33920,Lecythidaceae,Lecythis,monosperma
33921,Sterculiaceae,Nesosordonia,papaverifera
33922,Tiliaceae,Pentace,burmanica
33923,Anacardiaceae,Campnosperma,wallichii
33924,Anacardiaceae,Melanorrhoea,torquata
33925,Apocynaceae,Dyera,costulata
33926,Dipterocarpaceae,Anisoptera,sp.
33927,Dipterocarpaceae,Balanocarpus,heimii
33928,Dipterocarpaceae,Dipterocarpus,cornutus
33929,Dipterocarpaceae,Dipterocarpus,crinitus
33930,Dipterocarpaceae,Dryobalanops,aromatica
33931,Dipterocarpaceae,Shorea,acuminata
33932,Dipterocarpaceae,Shorea,bracteolata
33933,Dipterocarpaceae,Shorea,glauca
33934,Dipterocarpaceae,Shorea,pauciflora
33935,Guttiferae,Calophyllum,sp.
33936,Guttiferae,Mesua,ferrea
33937,Guttiferae,Cratoxylon,arborescens
33938,Leguminosae-Caes.,Intsia,bakeri
33939,Leguminosae-Caes.,Dialium,patens
33940,Leguminosae-Caes.,Koompassia,malaccensis
33941,Leguminosae-Caes.,Sindora,sp.
33942,Moraceae,Artocarpus,lanceaefolia
33943,Moraceae,Sloetia,sideroxylon
33959,Annonaceae,Uvaria,divaricata
33960,Annonaceae,Cleistochlemys,Kirkii
33965,Leguminosae-Mim.,Acacia,schliebenii
33974,Annonaceae,Lettowianthus,stellatus
33979,Leguminosaecaes,Pericopsis,schliebenii
33984,Leguminosae-Mim.,Acacia,joachimi
33997,Euphorbiaceae,Ricinodendron,gracilior
34000,Annonaceae,Cleistochlemys,Kirkii
34030,Euphorbiaceae,Paivaeusa,orientalis
34033,Fagaceae,Nothofagus,dombeyi
34034,Fagaceae,Nothofagus,obliqua
34035,Fagaceae,Nothofagus,procera
34036,Compositae,Flotovia,diacanthoides
34037,Compositae,Baccharis,concava
34038,Compositae,Baccharis,rosmarinifolia
34039,Myrtaceae,Myrcugenia,apiculata
34040,Myrtaceae,Myrcugenia,pitra
34041,Myrtaceae,Myrtus,luma
34042,Myrtaceae,Blepharocalyx,divaricatus
34043,Anacardiaceae,Schinus,dependens
34044,Anacardiaceae,Schinus,crenatus
34046,Escalloniaceae,Escallonia,pulverulenta
34047,Escalloniaceae,Escallonia,revoluta
34048,Grossulariaceae,Ribes,glandulosum
34049,Proteaceae,Lomatia,dentata
34050,Proteaceae,Lomatia,obliqua
34051,Proteaceae,Embothrium,coccineum
34052,Proteaceae,Gevuina,avellana
34053,Rhamnaceae,Colletia,spinosa
34054,Rhamnaceae,Discaria,serratifolia
34055,Monimiaceae,Laurelia,sempervirens
34056,Monimiaceae,Peumus,boldus
34057,Solanaceae,Solanum,gayanum
34058,Icacinaceae,Villaresia,mucronata
34059,Lauraceae,Persea,lingue
34060,Verbenaceae,Rhaphithamnus,cyanocarpus
34061,Leguminosae-Papil.,Sophora,tetraptera
34062,Onagraceae,Fuchsia,magellanica
34063,Elaeocarpaceae,Aristotelia,chilensis
34064,Flacourtiaceae,Azara,serrata
34065,Rosaceae,Kageneckia,oblonga
34066,Aextoxicaceae,Aextoxicon,punctatum
34067,Winteraceae,Drimys,winteri
34068,Eucryphiaceae,Eucryphia,cordifolia
34069,Cunoniaceae,Caldcluvia,paniculata
34070,Celastraceae,Maytenus,boaria
34071,Loganiaceae,Buddleia,globosa
34072,Podocarpaceae,Podocarpus,salignus
34073,Cupressaceae,Austrocedrus,chilensis
34083,Compositae,Tessaria,integrifolia
34087,Thymelaeaceae,Lophostoma,calophylloides
34090,Leguminosae-Papil.,Dipteryx,punctata
34091,Dilleniaceae,Doliocarpus,sp.
34094,Elaeocarpaceae,Sloanea,inermis
34095,Leguminosae-Caes.,Peltogyne,gracilipes
34096,Leguminosae-Papil.,Centrolobium,paraense
34147,Malvaceae,Hoheria,lyallii
34180,Meliaceae,Swietenia,macrophylla
34181,Meliaceae,Swietenia,macrophylla
34182,Lythraceae,Lafoensis,acuminata
34185,Proteaceae,Panopsis,suaveolens
34197,Leguminosae-Mim.,Poponax,pennatula
34204,Dipterocarpaceae,Shorea,negrosensis
34205,Dipterocarpaceae,Shorea,palosapis
34206,Dipterocarpaceae,Dipterocarpus,gracilis
34207,Dipterocarpaceae,Shorea,polysperma
34208,Dipterocarpaceae,Shorea,contorta
34209,Leguminosae-Papil.,Pterocarpus,indicus
34211,Meliaceae,Dysoxylum,turczaninowii
34213,Dipterocarpaceae,Shorea,polysperma
34216,Melastomataceae,Memecylon,phanerophlebium
34217,Myrtaceae,Eugenia,glaucicalyx
34218,Celastraceae,Bhesa,sp.
34219,Cornaceae,Mastixia,philippinensis
34220,Myrtaceae,Eugenia,nitidissima
34221,Myrtaceae,Eugenia,calcicola
34222,Verbenaceae,Vitex,aherniana
34223,Theaceae,Camellia,lanceolata
34224,Lauraceae,Cinnamomum,mercadoi
34226,Cunoniaceae,Weinmannia,luzoniensis
34227,Loganiaceae,Fagraea,racemosa
34229,Anacardiaceae,Buchanania,acuminatissima
