SpecimenID,Genus,Species,Family,Unnamed: 4
227,Solanum,brevipedicellatum,,
228,Pinus,pungens,,
229,Pinus,echinata,,
230,Pinus,echinata,,
231,Pinus,echinata,,
232,Pinus,echinata,,
233,Pinus,echinata,,
234,Pinus,echinata,,
235,Pinus,echinata,,
236,Pinus,echinata,,
237,Pinus,echinata,,
238,Pinus,echinata,,
239,Pinus,echinata,,
240,Pinus,echinata,,
241,Pinus,echinata,,
242,Pinus,echinata,,
243,Pinus,echinata,,
244,Pinus,echinata,,
245,Pinus,echinata,,
246,Pinus,echinata,,
247,Pinus,echinata,,
248,Pinus,echinata,,
249,Pinus,palustris,,
250,Pinus,palustris,,
251,Pinus,palustris,,
252,Pinus,palustris,,
253,Pinus,palustris,,
254,Pinus,palustris,,
255,Pinus,palustris,,
256,Pinus,palustris,,
257,Pinus,palustris,,
258,Pinus,palustris,,
259,Pinus,palustris,,
260,Pinus,palustris,,
261,Pinus,palustris,,
262,Pinus,palustris,,
263,Pinus,palustris,,
264,Pinus,palustris,,
265,Pinus,palustris,,
266,Pinus,palustris,,
267,Pinus,palustris,,
268,Pinus,palustris,,
269,Pinus,palustris,,
270,Pinus,palustris,,
271,Pinus,palustris,,
272,Solanum,brevipedicellatum,,
273,Solanum,brevipedicellatum,,
274,Pinus,palustris,,
275,Pinus,palustris,,
276,Pinus,palustris,,
277,Pinus,palustris,,
278,Pinus,palustris,,
279,Pinus,palustris,,
280,Pinus,elliottii,,
281,Pinus,elliottii,,
282,Pinus,caribaea,,
283,Pinus,elliottii,,
284,Pinus,elliottii,,
285,Pinus,elliottii,,
286,Pinus,elliottii,,
287,Pinus,elliottii,,
288,Pinus,elliottii,,
289,Pinus,elliottii,,
290,Pinus,glabra,,
291,Pinus,serotina,,
292,Pinus,serotina,,
293,Pinus,serotina,,
294,Pinus,serotina,,
295,Pinus,serotina,,
296,Pinus,serotina,,
297,Pinus,serotina,,
298,Solanum,brevipedicellatum,,
299,Picea,engelmannii,,
300,Picea,engelmannii,,
301,Picea,pungens,,
302,Picea,engelmannii,,
303,Picea,engelmannii,,
304,Solanum,chiapasense,,
305,Solanum,chiapasense,,
306,Picea,pungens,,
307,Picea,engelmannii,,
308,Picea,engelmannii,,
309,Solanum,chiapasense,,
310,Picea,engelmannii,,
311,Picea,mariana,,
312,Picea,breweriana,,
313,Picea,breweriana,,
314,Picea,breweriana,,
315,Picea,breweriana,,
316,Picea,glauca,,
317,Solanum,chiapasense,,
318,Solanum,chiapasense,,
319,Picea,glauca,,
320,Picea,glauca,,
321,Picea,glauca,,
322,Picea,glauca,,
323,Solanum,erianthum,,
324,Solanum,pulverulentifolium,,
325,Solanum,pulverulentifolium,,
326,Picea,rubens,,
327,Picea,rubens,,
328,Picea,glauca,,
329,Picea,rubens,,
330,Picea,rubens,,
331,Picea,rubens,,
332,Picea,rubens,,
333,Solanum,pulverulentifolium,,
334,Picea,sitchensis,,
335,Solanum,pulverulentifolium,,
336,Solanum,macrantherum,,
337,Solanum,mitlense,,
338,Picea,sitchensis,,
339,Picea,sitchensis,,
340,Tsuga,canadensis,,
341,Tsuga,canadensis,,
342,Tsuga,canadensis,,
343,Tsuga,canadensis,,
344,Tsuga,canadensis,,
345,Tsuga,canadensis,,
346,Tsuga,canadensis,,
347,Tsuga,canadensis,,
348,Solanum,iltisii,,
349,Tsuga,canadensis,,
350,Embothrium,grandiflorum,,
