SpecimenID,Family,Genus,Species
2,Fagaceae,Quercus,sp
3,Fagaceae,Quercus,sp
6,Fagaceae,Quercus,sp
7,Fagaceae,Quercus,sp
10,Fagaceae,Quercus,sp
12,Fagaceae,Quercus,sp
13,Fagaceae,Quercus,sp
16,Fagaceae,Quercus,sp
17,Fagaceae,Quercus,sp
36,Fagaceae,Quercus,sp
42,Fagaceae,Quercus,sp
43,Fagaceae,Quercus,sp
53,Fagaceae,Quercus,sp
56,Fagaceae,Quercus,sp
63,Fagaceae,Quercus,sp
64,Fagaceae,Quercus,sp
